frequency,real,img,mag,phase,,,,
0,5.56551E-08,0,5.56551E-08,0,,,,
0.005,-9.10432E-06,-1.05764E-05,1.39553E-05,-2.281534122,,,,
0.01,-3.54473E-05,-1.17026E-05,3.73291E-05,-2.822718699,,,,
0.015,-7.82156E-05,-2.28951E-05,8.14977E-05,-2.85682983,,,,
0.02,-0.000135236,-4.67618E-05,0.000143092,-2.808682944,,,,
0.025,-0.000202866,-8.69878E-05,0.00022073,-2.736512944,,,,
0.03,-0.000279156,-0.00014405,0.000314131,-2.665211221,,,,
0.035,-0.000358504,-0.00022148,0.000421401,-2.588195303,,,,
0.04,-0.000437365,-0.000319296,0.000541514,-2.510985389,,,,
0.045,-0.000511197,-0.000437874,0.000673095,-2.43329862,,,,
0.05,-0.00057475,-0.000576188,0.000813837,-2.354945189,,,,
0.055,-0.000624802,-0.000732629,0.000962873,-2.276926093,,,,
0.06,-0.000657353,-0.000904429,0.001118081,-2.199293594,,,,
0.065,-0.000667057,-0.00108822,0.001276397,-2.120705367,,,,
0.07,-0.000651462,-0.001279767,0.001436039,-2.041655378,,,,
0.075,-0.000609964,-0.001474098,0.001595312,-1.963132164,,,,
0.08,-0.000541646,-0.001666515,0.001752328,-1.885043676,,,,
0.085,-0.000443751,-0.001851049,0.001903496,-1.806085338,,,,
0.09,-0.000320868,-0.002022461,0.002047756,-1.728137086,,,,
0.095,-0.000170924,-0.002175167,0.002181872,-1.649214904,,,,
0.1,-3.89081E-08,-0.002304086,0.002304086,-1.570813213,,,,
0.105,0.00018951,-0.00240558,0.002413033,-1.492179554,,,,
0.11,0.000391468,-0.002473613,0.002504398,-1.413840593,,,,
0.115,0.000601192,-0.002506819,0.002577901,-1.335418888,,,,
0.12,0.000813303,-0.002503699,0.002632484,-1.25670862,,,,
0.125,0.001019804,-0.002460704,0.002663656,-1.177907591,,,,
0.13,0.001213386,-0.002381878,0.002673134,-1.09963786,,,,
0.135,0.0013875,-0.002265362,0.002656505,-1.021247209,,,,
0.14,0.001536265,-0.002115451,0.00261443,-0.942694297,,,,
0.145,0.001653292,-0.001936303,0.002546103,-0.86407745,,,,
0.15,0.001732263,-0.001732511,0.002449965,-0.785469471,,,,
0.155,0.001768955,-0.001511191,0.002326564,-0.706976156,,,,
0.16,0.001758489,-0.001278223,0.002173968,-0.628543918,,,,
0.165,0.00169945,-0.001041486,0.001993194,-0.549804961,,,,
0.17,0.001590348,-0.000810453,0.001784948,-0.471303761,,,,
0.175,0.001431588,-0.000593562,0.001549761,-0.393044142,,,,
0.18,0.001224867,-0.000398522,0.001288068,-0.314556608,,,,
0.185,0.000972188,-0.000233766,0.000999897,-0.235973526,,,,
0.19,0.000679769,-0.00010787,0.000688275,-0.157373586,,,,
0.195,0.00035363,-2.80025E-05,0.000354737,-0.079021083,,,,
0.2,-5.09438E-08,-3.19155E-07,3.23196E-07,-1.729081534,,,,
0.205,-0.00037225,-2.93648E-05,0.000373407,-3.062871204,,,,
0.21,-0.000753085,-0.000119377,0.000762488,-2.984383565,,,,
0.215,-0.001133038,-0.000272232,0.001165284,-2.90579523,,,,
0.22,-0.001501713,-0.000488179,0.001579069,-2.827286878,,,,
0.225,-0.00184824,-0.000766046,0.002000704,-2.748672006,,,,
0.23,-0.002162375,-0.001102468,0.002427201,-2.670103062,,,,
0.235,-0.002434305,-0.001492152,0.002855233,-2.591692149,,,,
0.24,-0.002655143,-0.001929228,0.003282028,-2.513236234,,,,
0.245,-0.00281649,-0.002405612,0.003703996,-2.434713373,,,,
0.25,-0.002911367,-0.002911593,0.004117454,-2.356155665,,,,
0.255,-0.002934536,-0.0034361,0.00451866,-2.277625951,,,,
0.26,-0.002882696,-0.003967684,0.00490433,-2.199115713,,,,
0.265,-0.002753872,-0.004494424,0.005271021,-2.120524224,,,,
0.27,-0.002549062,-0.005003795,0.005615664,-2.041956063,,,,
0.275,-0.002270734,-0.005482717,0.005934342,-1.963451574,,,,
0.28,-0.001923174,-0.005919044,0.006223638,-1.884949494,,,,
0.285,-0.001512888,-0.006301408,0.006480476,-1.80642382,,,,
0.29,-0.001048611,-0.006619549,0.006702091,-1.727902054,,,,
0.295,-0.000540644,-0.006864459,0.006885717,-1.649393933,,,,
0.3,-4.57305E-07,-0.007028303,0.007028303,-1.570861393,,,,
0.305,0.000558906,-0.007105533,0.00712748,-1.492300064,,,,
0.31,0.001123406,-0.007093998,0.007182399,-1.413740459,,,,
0.315,0.001679173,-0.006990219,0.007189074,-1.335045739,,,,
