frequency,real,img,mag,phase,,
0,-2.78E-08,0.00E+00,2.78E-08,7.85E-01,,
0.004,4.05E-06,7.88E-06,8.86E-06,2.74E-01,,
0.008,1.57E-05,6.98E-06,1.72E-05,1.04E-01,,
0.012,3.55E-05,8.31E-06,3.65E-05,5.75E-02,,
0.016,6.22E-05,1.52E-05,6.41E-05,6.01E-02,,
0.02,9.59E-05,2.65E-05,9.95E-05,6.73E-02,,
0.024,1.35E-04,4.37E-05,1.42E-04,7.81E-02,,
0.028,1.80E-04,6.77E-05,1.92E-04,8.99E-02,,
0.032,2.29E-04,9.87E-05,2.50E-04,1.02E-01,,
0.036,2.82E-04,1.38E-04,3.14E-04,1.14E-01,,
0.04,3.36E-04,1.86E-04,3.84E-04,1.26E-01,,
0.044,3.91E-04,2.42E-04,4.60E-04,1.39E-01,,
0.048,4.46E-04,3.08E-04,5.43E-04,1.51E-01,,
0.052,5.00E-04,3.83E-04,6.30E-04,1.64E-01,,
0.056,5.50E-04,4.68E-04,7.22E-04,1.76E-01,,
0.06,5.96E-04,5.60E-04,8.18E-04,1.89E-01,,
0.064,6.37E-04,6.62E-04,9.18E-04,2.01E-01,,
0.068,6.71E-04,7.71E-04,1.02E-03,2.14E-01,,
0.072,6.96E-04,8.87E-04,1.13E-03,2.26E-01,,
0.076,7.14E-04,1.01E-03,1.24E-03,2.39E-01,,
0.08,7.21E-04,1.14E-03,1.35E-03,2.51E-01,,
0.084,7.17E-04,1.27E-03,1.46E-03,2.64E-01,,
0.088,7.03E-04,1.40E-03,1.57E-03,2.76E-01,,
0.092,6.77E-04,1.54E-03,1.68E-03,2.89E-01,,
0.096,6.37E-04,1.67E-03,1.79E-03,3.02E-01,,
0.1,5.86E-04,1.80E-03,1.90E-03,3.14E-01,,
0.104,5.22E-04,1.93E-03,2.00E-03,3.27E-01,,
0.108,4.47E-04,2.06E-03,2.11E-03,3.39E-01,,
0.112,3.59E-04,2.18E-03,2.21E-03,3.52E-01,,
0.116,2.60E-04,2.29E-03,2.30E-03,3.64E-01,,
0.12,1.50E-04,2.39E-03,2.39E-03,3.77E-01,,
0.124,3.08E-05,2.48E-03,2.48E-03,3.90E-01,,
0.128,-9.66E-05,2.55E-03,2.56E-03,4.02E-01,,
0.132,-2.31E-04,2.62E-03,2.63E-03,4.15E-01,,
0.136,-3.71E-04,2.67E-03,2.69E-03,4.27E-01,,
0.14,-5.15E-04,2.70E-03,2.75E-03,4.40E-01,,
0.144,-6.61E-04,2.72E-03,2.80E-03,4.52E-01,,
0.148,-8.09E-04,2.72E-03,2.84E-03,4.65E-01,,
0.152,-9.54E-04,2.71E-03,2.87E-03,4.77E-01,,
0.156,-1.10E-03,2.67E-03,2.89E-03,4.90E-01,,
0.16,-1.23E-03,2.62E-03,2.90E-03,5.03E-01,,
0.164,-1.36E-03,2.56E-03,2.90E-03,5.15E-01,,
0.168,-1.49E-03,2.48E-03,2.89E-03,5.28E-01,,
0.172,-1.59E-03,2.38E-03,2.86E-03,5.40E-01,,
0.176,-1.69E-03,2.27E-03,2.83E-03,5.53E-01,,
0.18,-1.77E-03,2.14E-03,2.78E-03,5.65E-01,,
0.184,-1.84E-03,2.01E-03,2.72E-03,5.78E-01,,
0.188,-1.89E-03,1.86E-03,2.65E-03,5.91E-01,,
0.192,-1.92E-03,1.71E-03,2.57E-03,6.03E-01,,
0.196,-1.92E-03,1.55E-03,2.47E-03,6.16E-01,,
0.2,-1.91E-03,1.39E-03,2.36E-03,6.28E-01,,
0.204,-1.88E-03,1.22E-03,2.24E-03,6.41E-01,,
0.208,-1.82E-03,1.06E-03,2.11E-03,6.53E-01,,
0.212,-1.74E-03,9.01E-04,1.96E-03,6.66E-01,,
0.216,-1.64E-03,7.47E-04,1.80E-03,6.79E-01,,
0.22,-1.52E-03,6.01E-04,1.63E-03,6.91E-01,,
0.224,-1.37E-03,4.65E-04,1.45E-03,7.04E-01,,
0.228,-1.21E-03,3.43E-04,1.25E-03,7.16E-01,,
