frequency,real,img,mag,phase,,,,
0,-2.78275E-08,0,2.78275E-08,3.141592654,,,,
0.004,4.05471E-06,7.87759E-06,8.85986E-06,1.095446268,,,,
0.008,1.57346E-05,6.97933E-06,1.72131E-05,0.417489641,,,,
0.012,3.55155E-05,8.31465E-06,3.64758E-05,0.229971337,,,,
0.016,6.2209E-05,1.52494E-05,6.40508E-05,0.240392151,,,,
0.02,9.58821E-05,2.64534E-05,9.94643E-05,0.269198252,,,,
0.024,0.000135417,4.3749E-05,0.000142308,0.31248477,,,,
0.028,0.000180136,6.76951E-05,0.000192436,0.359470955,,,,
0.032,0.000229352,9.87152E-05,0.000249693,0.40644395,,,,
0.036,0.000281624,0.000137959,0.0003136,0.455509169,,,,
0.04,0.000336111,0.000185697,0.000383998,0.504750841,,,,
0.044,0.000391344,0.000242458,0.000460365,0.554672695,,,,
0.048,0.000446408,0.000308264,0.0005425,0.604350371,,,,
0.052,0.00049952,0.000383369,0.000629676,0.654591707,,,,
0.056,0.000549737,0.000467634,0.000721729,0.704870729,,,,
0.06,0.000596098,0.000560482,0.000818213,0.754613507,,,,
0.064,0.000636594,0.000661883,0.000918336,0.804870979,,,,
0.068,0.000671124,0.000771047,0.001022214,0.854574284,,,,
0.072,0.000696204,0.000887246,0.001127788,0.905467418,,,,
0.076,0.000714468,0.001009513,0.001236762,0.954897438,,,,
0.08,0.000721182,0.001136902,0.001346347,1.005508916,,,,
0.084,0.000717293,0.001268113,0.001456921,1.056025933,,,,
0.088,0.000703234,0.001401896,0.001568391,1.105844927,,,,
0.092,0.000676912,0.00153684,0.001679311,1.155906473,,,,
0.096,0.000637352,0.001671489,0.00178888,1.206507174,,,,
0.1,0.000585715,0.001804394,0.001897076,1.256921756,,,,
0.104,0.000522189,0.00193376,0.002003025,1.307049067,,,,
0.108,0.000446829,0.002058419,0.002106358,1.357038656,,,,
0.112,0.000359094,0.002176208,0.002205636,1.407260869,,,,
0.116,0.000259848,0.002286404,0.002301122,1.457632742,,,,
0.12,0.000149976,0.00238678,0.002391488,1.508042908,,,,
0.124,3.07923E-05,0.002476418,0.002476609,1.558362751,,,,
0.128,-9.65909E-05,0.002553515,0.002555341,1.608604925,,,,
0.132,-0.000230908,0.002617852,0.002628016,1.658773739,,,,
0.136,-0.000370787,0.002667081,0.002692732,1.708934352,,,,
0.14,-0.000514861,0.002700761,0.002749398,1.759171423,,,,
0.144,-0.00066138,0.002718634,0.002797927,1.809437226,,,,
0.148,-0.000808554,0.002720333,0.002837952,1.859706232,,,,
0.152,-0.000954466,0.002705139,0.002868585,1.909993915,,,,
0.156,-0.00109706,0.002672586,0.002888989,1.960309682,,,,
