frequency,real,img,mag,phase
0,5.57E-07,0,5.57E-07,0
0.004,-7.66E-05,-5.43E-05,9.39E-05,-2.524541813
0.008,-2.67E-04,-1.69E-04,3.16E-04,-2.576670448
0.012,-4.75E-04,-4.60E-04,6.61E-04,-2.371613136
0.016,-5.78E-04,-9.18E-04,0.001084459,-2.132612354
0.02,-4.59E-04,-0.001448321,0.001519248,-1.877564362
0.024,-1.16E-04,-0.001908714,0.001912226,-1.631411966
0.028,4.23E-04,-0.002151162,0.002192384,-1.3765699
0.032,9.77E-04,-0.002091714,0.00230875,-1.13372239
0.036,0.001411479,-0.001704606,0.002213132,-0.879191254
0.04,0.00151392,-0.001100642,0.001871728,-0.628627456
0.044,0.001193732,-4.78E-04,0.001285955,-0.381024073
0.048,4.74E-04,-6.37E-05,4.78E-04,-0.13366604
0.052,-5.18E-04,-6.37E-05,5.22E-04,-3.019165789
0.056,-0.001529446,-6.05E-04,0.001644748,-2.764927483
0.06,-0.002277122,-0.001653137,0.00281392,-2.513644615
0.064,-0.002497214,-0.003030982,0.003927204,-2.259939222
0.068,-0.002091995,-0.004436405,0.004904909,-2.011427539
0.072,-0.001056273,-0.005535084,0.005634969,-1.75936155
0.076,3.79E-04,-0.006034525,0.006046429,-1.508035362
0.08,0.001878101,-0.005778025,0.006075594,-1.256526373
0.084,0.003030173,-0.004776369,0.005656469,-1.005459384
0.088,0.00349544,-0.003288757,0.004799377,-0.754942212
0.092,0.003095566,-0.001705171,0.003534139,-0.503490176
0.096,0.001850278,-4.79E-04,0.001911259,-0.2532886
0.1,5.46E-07,8.36E-08,5.53E-07,0.151742616
0.104,-0.001993323,-5.14E-04,0.002058408,-2.889452648
0.108,-0.003638084,-0.00200146,0.004152289,-2.638641047
0.112,-0.004462483,-0.004188947,0.006120541,-2.387801341
0.116,-0.004194106,-0.006602571,0.00782205,-2.136713295
0.12,-0.002816428,-0.008667252,0.00911337,-1.884983429
0.124,-6.21E-04,-0.009866782,0.009886293,-1.633632408
0.128,0.001882558,-0.009868745,0.010046699,-1.382301375
0.132,0.004069604,-0.008639917,0.009550384,-1.130597413
0.136,0.005338064,-0.006454097,0.008375578,-0.879759039
0.14,0.005323607,-0.003868839,0.006580934,-0.62844294
0.144,0.003941955,-0.001561568,0.004239988,-0.377174767
0.148,0.001470935,-1.86E-04,0.001482631,-0.125689816
0.152,-0.001517149,-1.90E-04,0.001529049,-3.016749583
0.156,-0.004270593,-0.001691532,0.004593391,-2.764462979
0.16,-0.006091947,-0.004425214,0.007529564,-2.513364825
0.164,-0.006452284,-0.007799934,0.010122793,-2.261917546
0.168,-0.005187076,-0.011022702,0.012182188,-2.010633108
0.172,-0.002538687,-0.013306452,0.013546461,-1.759316916
0.176,8.85E-04,-0.014060149,0.014087986,-1.507921758
0.18,0.004248906,-0.013063742,0.013737341,-1.256343619
0.184,0.006676941,-0.010529894,0.012468368,-1.005684337
0.188,0.007530364,-0.007073384,0.010331464,-0.754116374
0.192,0.006509514,-0.003580292,0.007429149,-0.502850214
0.196,0.003793851,-9.75E-04,0.003917048,-0.25146635
0.2,5.47E-07,8.28E-08,5.53E-07,0.150372501
0.204,-0.003952135,-0.00101532,0.004080471,-2.890126642
0.208,-0.0070647,-0.003883772,0.008061866,-2.638946466
0.212,-0.008515131,-0.007995275,0.011680406,-2.387670665
0.216,-0.00786874,-0.012399352,0.014685401,-2.136275631
0.22,-0.005216666,-0.016028715,0.016856254,-1.885442016
0.224,-0.001126459,-0.017984414,0.018019657,-1.633349927
0.228,0.003378886,-0.017737162,0.018056129,-1.382554189
0.232,0.007210352,-0.015321161,0.016933019,-1.130932664
0.236,0.009353777,-0.011307271,0.014674724,-0.879667533
0.24,0.009216194,-0.006696314,0.011392052,-0.628343929
0.244,0.006739857,-0.002691396,0.00725736,-0.379924672
0.248,0.00249348,-3.15E-04,0.002513277,-0.125598599
0.252,-0.002532672,-3.20E-04,0.002552844,-3.01579692
0.256,-0.007088755,-0.002806778,0.007624202,-2.764584317
0.26,-0.010008246,-0.007272373,0.012371434,-2.513211524
0.264,-0.010500581,-0.012693528,0.016473853,-2.261927149
0.268,-0.008365655,-0.017778978,0.019648823,-2.010596424
0.272,-0.004060481,-0.021281513,0.021665418,-1.75932886
0.276,0.00140445,-0.022302532,0.022346709,-1.507906682
0.28,0.006679829,-0.020556261,0.021614347,-1.256606503
0.284,0.010439574,-0.016447491,0.019480879,-1.005236901
